"trx_id","sk_actor","actor_name","sk_customer","customer_name","customer_address","customer_city","customer_country","sk_film","film_title","release_year","film_rating","film_language","film_genre","film_description","sk_rental","staff_fullname","sk_waktu","tahun","kuartal","nama_bulan","tanggal","nama_hari","rental_date","return_date","replacement_cost","rental_duration","rental_rate","amount"
11,186,Julia Zellweger,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,579,Wyoming Storm,2006,Teens,English             ,Action,A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat,11821,Jon Stephens,100650017,2012.0,Q1,januari,2012-01-17 00:00:00.000,Selasa,2005-08-17 00:00:00.000,2005-08-19 00:00:00.000,22.99,3,4.99,4.99
12,165,Al Garland,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,204,Wasteland Divine,2006,Kids,English             ,Drama,A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China,12246,Mike Hillyer,100650018,2012.0,Q1,januari,2012-01-18 00:00:00.000,Rabu,2005-08-18 00:00:00.000,2005-08-22 00:00:00.000,25.99,4,0.99,0.99
13,90,Sean Guiness,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,663,United Pilot,2006,Mature,English             ,Classics,A Fast-Paced Reflection of a Cat And a Mad Cow who must Fight a Car in The Sahara Desert,13064,Jon Stephens,100650019,2012.0,Q1,januari,2012-01-19 00:00:00.000,Kamis,2005-08-19 00:00:00.000,2005-08-20 00:00:00.000,29.99,7,0.99,0.99
14,99,Jim Mostel,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,490,Women Dorado,2006,Mature,English             ,New,A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia,13172,Jon Stephens,100650019,2012.0,Q1,januari,2012-01-19 00:00:00.000,Kamis,2005-08-19 00:00:00.000,2005-08-23 00:00:00.000,13.99,4,2.99,2.99
15,198,Mary Keitel,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,924,Youth Kick,2006,Adults Only,English             ,Sci-Fi,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,14757,Mike Hillyer,100650021,2012.0,Q1,januari,2012-01-21 00:00:00.000,Sabtu,2005-08-21 00:00:00.000,2005-08-23 00:00:00.000,15.99,7,0.99,0.99
16,126,Frances Tomei,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,317,Suicides Silence,2006,Kids,English             ,Comedy,A Emotional Character Study of a Car And a Girl who must Face a Composer in A U-Boat,14820,Jon Stephens,100650022,2012.0,Q1,januari,2012-01-22 00:00:00.000,Minggu,2005-08-22 00:00:00.000,2005-08-27 00:00:00.000,25.99,4,0.99,1.99
17,126,Frances Tomei,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,317,Suicides Silence,2006,Kids,English             ,Comedy,A Emotional Character Study of a Car And a Girl who must Face a Composer in A U-Boat,15293,Mike Hillyer,100650022,2012.0,Q1,januari,2012-01-22 00:00:00.000,Minggu,2005-08-22 00:00:00.000,2005-08-28 00:00:00.000,25.99,4,0.99,2.99
18,104,Penelope Cronyn,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,70,Zoolander Fiction,2006,Mature,English             ,Animation,A Fateful Reflection of a Waitress And a Boat who must Discover a Sumo Wrestler in Ancient China,15310,Jon Stephens,100650022,2012.0,Q1,januari,2012-01-22 00:00:00.000,Minggu,2005-08-22 00:00:00.000,2005-08-30 00:00:00.000,26.99,7,4.99,5.99
19,143,River Dean,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,316,Wardrobe Phantom,2006,Kids,English             ,Games,A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India,4523,Jon Stephens,100600008,2011.0,Q1,januari,2011-01-08 00:00:00.000,Sabtu,2005-07-08 00:00:00.000,2005-07-14 00:00:00.000,18.99,5,4.99,5.99
20,177,Gene Mckellen,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,764,Wanda Chamber,2006,Teens,English             ,Sports,A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback,4608,Jon Stephens,100600008,2011.0,Q1,januari,2011-01-08 00:00:00.000,Sabtu,2005-07-08 00:00:00.000,2005-07-12 00:00:00.000,28.99,3,4.99,5.99
21,135,Rita Reynolds,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,814,Trainspotting Strangers,2006,Teens,English             ,Comedy,A Fast-Paced Drama of a Pioneer And a Mad Cow who must Challenge a Madman in Ancient Japan,5241,Jon Stephens,100600009,2011.0,Q1,januari,2011-01-09 00:00:00.000,Minggu,2005-07-09 00:00:00.000,2005-07-14 00:00:00.000,15.99,6,4.99,4.99
22,109,Sylvester Dern,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,174,Weekend Personal,2006,Mature,English             ,Music,A Fast-Paced Documentary of a Car And a Butler who must Find a Frisbee in A Jet Boat,5323,Mike Hillyer,100600009,2011.0,Q1,januari,2011-01-09 00:00:00.000,Minggu,2005-07-09 00:00:00.000,2005-07-13 00:00:00.000,13.99,6,4.99,4.99
23,167,Laurence Bullock,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,294,Unfaithful Kill,2006,Mature,English             ,Travel,A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans,6160,Jon Stephens,100600011,2011.0,Q1,januari,2011-01-11 00:00:00.000,Selasa,2005-07-11 00:00:00.000,2005-07-19 00:00:00.000,26.99,5,4.99,7.99
24,181,Matthew Carrey,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,539,Worst Banger,2006,Kids,English             ,Drama,A Thrilling Drama of a Madman And a Dentist who must Conquer a Boy in The Outback,7269,Mike Hillyer,100600027,2011.0,Q1,januari,2011-01-27 00:00:00.000,Kamis,2005-07-27 00:00:00.000,2005-07-31 00:00:00.000,21.99,7,2.99,2.99
25,197,Reese West,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,243,Yentl Idaho,2006,Mature,English             ,Animation,A Amazing Display of a Robot And a Astronaut who must Fight a Womanizer in Berlin,7837,Jon Stephens,100600028,2011.0,Q1,januari,2011-01-28 00:00:00.000,Jumat,2005-07-28 00:00:00.000,2005-07-30 00:00:00.000,22.99,3,4.99,4.99
26,92,Kirsten Akroyd,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,929,Worst Banger,2006,Kids,English             ,Foreign,A Thrilling Drama of a Madman And a Dentist who must Conquer a Boy in The Outback,8029,Mike Hillyer,100600028,2011.0,Q1,januari,2011-01-28 00:00:00.000,Jumat,2005-07-28 00:00:00.000,2005-07-30 00:00:00.000,21.99,5,4.99,4.99
27,167,Laurence Bullock,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,341,Unfaithful Kill,2006,Mature,English             ,Classics,A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans,8070,Mike Hillyer,100600028,2011.0,Q1,januari,2011-01-28 00:00:00.000,Jumat,2005-07-28 00:00:00.000,2005-07-29 00:00:00.000,13.99,5,0.99,0.99
28,174,Michael Bening,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,982,Women Dorado,2006,Mature,English             ,Action,A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia,8112,Mike Hillyer,100600028,2011.0,Q1,januari,2011-01-28 00:00:00.000,Jumat,2005-07-28 00:00:00.000,2005-07-29 00:00:00.000,23.99,4,0.99,0.99
29,124,Scarlett Bening,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,22,Youth Kick,2006,Adults Only,English             ,New,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,8322,Jon Stephens,100600029,2011.0,Q1,januari,2011-01-29 00:00:00.000,Sabtu,2005-07-29 00:00:00.000,2005-08-01 00:00:00.000,10.99,6,2.99,2.99
30,153,Minnie Kilmer,1,Mary Smith,"1913 Hanoi Way",Sasebo,Japan,480,Worker Tarzan,2006,Mature,English             ,Classics,A Action-Packed Yarn of a Secret Agent And a Technical Writer who must Battle a Sumo Wrestler in The First Manned Space Station,9566,Jon Stephens,100600031,2011.0,Q1,januari,2011-01-31 00:00:00.000,Senin,2005-07-31 00:00:00.000,2005-08-02 00:00:00.000,29.99,3,2.99,2.99
31,181,Matthew Carrey,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,78,Worst Banger,2006,Kids,English             ,Animation,A Thrilling Drama of a Madman And a Dentist who must Conquer a Boy in The Outback,2126,Jon Stephens,100550017,2010.0,Q1,januari,2010-01-17 00:00:00.000,Minggu,2005-06-17 00:00:00.000,2005-06-24 00:00:00.000,12.99,7,2.99,2.99
32,179,Ed Guiness,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,27,Wind Phantom,2006,Mature,English             ,Sports,A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft,10461,Mike Hillyer,100650001,2012.0,Q1,januari,2012-01-01 00:00:00.000,Minggu,2005-08-01 00:00:00.000,2005-08-06 00:00:00.000,12.99,7,0.99,0.99
33,189,Cuba Birch,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,748,Victory Academy,2006,Teens,English             ,Action,A Insightful Epistle of a Mad Scientist And a Explorer who must Challenge a Cat in The Sahara Desert,10913,Mike Hillyer,100650002,2012.0,Q1,januari,2012-01-02 00:00:00.000,Senin,2005-08-02 00:00:00.000,2005-08-02 00:00:00.000,16.99,4,0.99,0.99
34,60,Henry Berry,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,142,Wonka Sea,2006,Adults Only,English             ,Documentary,A Brilliant Saga of a Boat And a Mad Scientist who must Meet a Moose in Ancient India,11082,Jon Stephens,100650002,2012.0,Q1,januari,2012-01-02 00:00:00.000,Senin,2005-08-02 00:00:00.000,2005-08-10 00:00:00.000,24.99,3,0.99,5.99
35,147,Fay Winslet,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,254,Words Hunter,2006,Kids,English             ,Sports,A Action-Packed Reflection of a Composer And a Mad Scientist who must Face a Pioneer in A MySQL Convention,11172,Jon Stephens,100650002,2012.0,Q1,januari,2012-01-02 00:00:00.000,Senin,2005-08-02 00:00:00.000,2005-08-10 00:00:00.000,11.99,4,2.99,6.99
36,171,Olympia Pfeiffer,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,447,Wait Cider,2006,Teens,English             ,Games,A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse,11251,Mike Hillyer,100650002,2012.0,Q1,januari,2012-01-02 00:00:00.000,Senin,2005-08-02 00:00:00.000,2005-08-04 00:00:00.000,28.99,5,2.99,2.99
37,177,Gene Mckellen,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,175,Wanda Chamber,2006,Teens,English             ,Family,A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback,11610,Mike Hillyer,100650017,2012.0,Q1,januari,2012-01-17 00:00:00.000,Selasa,2005-08-17 00:00:00.000,2005-08-20 00:00:00.000,27.99,3,2.99,2.99
38,86,Greg Chaplin,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,331,Usual Untouchables,2006,Teens,English             ,Games,A Touching Display of a Explorer And a Lumberjack who must Fight a Forensic Psychologist in A Shark Tank,12959,Jon Stephens,100650019,2012.0,Q1,januari,2012-01-19 00:00:00.000,Kamis,2005-08-19 00:00:00.000,2005-08-23 00:00:00.000,25.99,6,2.99,2.99
39,185,Michael Bolger,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,694,Wife Turn,2006,Adults Only,English             ,Classics,A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan,14470,Jon Stephens,100650021,2012.0,Q1,januari,2012-01-21 00:00:00.000,Sabtu,2005-08-21 00:00:00.000,2005-08-27 00:00:00.000,15.99,6,4.99,4.99
40,142,Jada Ryder,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,999,Zoolander Fiction,2006,Mature,English             ,Children,A Fateful Reflection of a Waitress And a Boat who must Discover a Sumo Wrestler in Ancient China,14738,Mike Hillyer,100650021,2012.0,Q1,januari,2012-01-21 00:00:00.000,Sabtu,2005-08-21 00:00:00.000,2005-08-29 00:00:00.000,28.99,5,2.99,5.99
41,129,Daryl Crawford,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,471,Wasteland Divine,2006,Kids,English             ,Classics,A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China,15140,Mike Hillyer,100650022,2012.0,Q1,januari,2012-01-22 00:00:00.000,Minggu,2005-08-22 00:00:00.000,2005-08-31 00:00:00.000,23.99,7,2.99,4.99
42,186,Julia Zellweger,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,637,Wyoming Storm,2006,Teens,English             ,Sci-Fi,A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat,15901,Mike Hillyer,100650023,2012.0,Q1,januari,2012-01-23 00:00:00.000,Senin,2005-08-23 00:00:00.000,2005-08-25 00:00:00.000,16.99,7,4.99,4.99
43,151,Geoffrey Heston,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,895,Working Microcosmos,2006,Mature,English             ,Classics,A Stunning Epistle of a Dentist And a Dog who must Kill a Madman in Ancient China,5633,Mike Hillyer,100600010,2011.0,Q1,januari,2011-01-10 00:00:00.000,Senin,2005-07-10 00:00:00.000,2005-07-13 00:00:00.000,21.99,3,2.99,2.99
44,190,Audrey Bailey,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,606,Warlock Werewolf,2006,Kids,English             ,Sports,A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback,5752,Mike Hillyer,100600010,2011.0,Q1,januari,2011-01-10 00:00:00.000,Senin,2005-07-10 00:00:00.000,2005-07-19 00:00:00.000,15.99,3,0.99,6.99
45,176,Jon Chase,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,162,Virtual Spoilers,2006,Adults Only,English             ,Action,A Fateful Tale of a Database Administrator And a Squirrel who must Discover a Student in Soviet Georgia,7342,Mike Hillyer,100600027,2011.0,Q1,januari,2011-01-27 00:00:00.000,Kamis,2005-07-27 00:00:00.000,2005-08-02 00:00:00.000,13.99,4,2.99,4.99
46,198,Mary Keitel,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,109,Youth Kick,2006,Adults Only,English             ,New,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,7372,Jon Stephens,100600027,2011.0,Q1,januari,2011-01-27 00:00:00.000,Kamis,2005-07-27 00:00:00.000,2005-08-04 00:00:00.000,17.99,3,0.99,5.99
47,150,Jayne Nolte,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,446,Wasteland Divine,2006,Kids,English             ,Sports,A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China,7455,Jon Stephens,100600027,2011.0,Q1,januari,2011-01-27 00:00:00.000,Kamis,2005-07-27 00:00:00.000,2005-08-02 00:00:00.000,19.99,5,4.99,5.99
48,182,Debbie Akroyd,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,421,World Leathernecks,2006,Teens,English             ,Foreign,A Unbelieveable Tale of a Pioneer And a Astronaut who must Overcome a Robot in An Abandoned Amusement Park,8226,Jon Stephens,100600029,2011.0,Q1,januari,2011-01-29 00:00:00.000,Sabtu,2005-07-29 00:00:00.000,2005-08-06 00:00:00.000,10.99,7,4.99,5.99
49,153,Minnie Kilmer,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,136,Worker Tarzan,2006,Mature,English             ,New,A Action-Packed Yarn of a Secret Agent And a Technical Writer who must Battle a Sumo Wrestler in The First Manned Space Station,8594,Jon Stephens,100600029,2011.0,Q1,januari,2011-01-29 00:00:00.000,Sabtu,2005-07-29 00:00:00.000,2005-08-01 00:00:00.000,26.99,7,2.99,2.99
50,200,Thora Temple,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,879,Wrong Behavior,2006,Teens,English             ,Music,A Emotional Saga of a Crocodile And a Sumo Wrestler who must Discover a Mad Cow in New Orleans,8701,Mike Hillyer,100600029,2011.0,Q1,januari,2011-01-29 00:00:00.000,Sabtu,2005-07-29 00:00:00.000,2005-08-02 00:00:00.000,20.99,3,4.99,5.99
51,185,Michael Bolger,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,518,Wife Turn,2006,Adults Only,English             ,Travel,A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan,9027,Jon Stephens,100600030,2011.0,Q1,januari,2011-01-30 00:00:00.000,Minggu,2005-07-30 00:00:00.000,2005-08-04 00:00:00.000,15.99,5,4.99,4.99
52,143,River Dean,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,878,Wardrobe Phantom,2006,Kids,English             ,Travel,A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India,9232,Mike Hillyer,100600030,2011.0,Q1,januari,2011-01-30 00:00:00.000,Minggu,2005-07-30 00:00:00.000,2005-08-08 00:00:00.000,25.99,3,4.99,10.99
53,198,Mary Keitel,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,303,Youth Kick,2006,Adults Only,English             ,Action,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,9244,Mike Hillyer,100600030,2011.0,Q1,januari,2011-01-30 00:00:00.000,Minggu,2005-07-30 00:00:00.000,2005-08-05 00:00:00.000,27.99,6,0.99,0.99
54,163,Christopher West,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,891,Young Language,2006,Kids,English             ,Classics,A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station,9292,Mike Hillyer,100600030,2011.0,Q1,januari,2011-01-30 00:00:00.000,Minggu,2005-07-30 00:00:00.000,2005-08-08 00:00:00.000,13.99,3,0.99,6.99
55,168,Will Wilson,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,678,Warlock Werewolf,2006,Kids,English             ,Sports,A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback,9460,Jon Stephens,100600030,2011.0,Q1,januari,2011-01-30 00:00:00.000,Minggu,2005-07-30 00:00:00.000,2005-08-06 00:00:00.000,23.99,3,2.99,6.99
56,143,River Dean,2,Patricia Johnson,"1121 Loja Avenue",San Bernardino,United States,690,Wardrobe Phantom,2006,Kids,English             ,Animation,A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India,10131,Mike Hillyer,100600031,2011.0,Q1,januari,2011-01-31 00:00:00.000,Senin,2005-07-31 00:00:00.000,2005-08-03 00:00:00.000,25.99,7,2.99,2.99
57,150,Jayne Nolte,3,Linda Williams,"692 Joliet Street",Athenai,Greece,854,Wasteland Divine,2006,Kids,English             ,Horror,A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China,1544,Mike Hillyer,100550016,2010.0,Q1,januari,2010-01-16 00:00:00.000,Sabtu,2005-06-16 00:00:00.000,2005-06-24 00:00:00.000,22.99,4,4.99,8.99
58,164,Humphrey Willis,3,Linda Williams,"692 Joliet Street",Athenai,Greece,23,Wonderful Drop,2006,Adults Only,English             ,Animation,A Boring Panorama of a Woman And a Madman who must Overcome a Butler in A U-Boat,1724,Jon Stephens,100550016,2010.0,Q1,januari,2010-01-16 00:00:00.000,Sabtu,2005-06-16 00:00:00.000,2005-06-25 00:00:00.000,9.99,3,0.99,6.99
59,129,Daryl Crawford,3,Linda Williams,"692 Joliet Street",Athenai,Greece,202,Wasteland Divine,2006,Kids,English             ,Comedy,A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China,1909,Jon Stephens,100550017,2010.0,Q1,januari,2010-01-17 00:00:00.000,Minggu,2005-06-17 00:00:00.000,2005-06-24 00:00:00.000,26.99,5,4.99,6.99
60,95,Daryl Wahlberg,3,Linda Williams,"692 Joliet Street",Athenai,Greece,855,Unfaithful Kill,2006,Mature,English             ,Documentary,A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans,2625,Jon Stephens,100550019,2010.0,Q1,januari,2010-01-19 00:00:00.000,Selasa,2005-06-19 00:00:00.000,2005-06-28 00:00:00.000,28.99,7,0.99,2.99
61,130,Greta Keitel,3,Linda Williams,"692 Joliet Street",Athenai,Greece,725,Wolves Desire,2006,Adults Only,English             ,Classics,A Fast-Paced Drama of a Squirrel And a Robot who must Succumb a Technical Writer in A Manhattan Penthouse,10592,Mike Hillyer,100650001,2012.0,Q1,januari,2012-01-01 00:00:00.000,Minggu,2005-08-01 00:00:00.000,2005-08-08 00:00:00.000,25.99,6,4.99,5.99
62,177,Gene Mckellen,3,Linda Williams,"692 Joliet Street",Athenai,Greece,433,Wanda Chamber,2006,Teens,English             ,Animation,A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback,12552,Jon Stephens,100650018,2012.0,Q1,januari,2012-01-18 00:00:00.000,Rabu,2005-08-18 00:00:00.000,2005-08-24 00:00:00.000,23.99,4,2.99,4.99
63,192,John Suvari,3,Linda Williams,"692 Joliet Street",Athenai,Greece,711,Song Hedwig,2006,Teens,English             ,Sci-Fi,A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention,13399,Mike Hillyer,100650019,2012.0,Q1,januari,2012-01-19 00:00:00.000,Kamis,2005-08-19 00:00:00.000,2005-08-27 00:00:00.000,18.99,4,4.99,8.99
64,198,Mary Keitel,3,Linda Williams,"692 Joliet Street",Athenai,Greece,555,Youth Kick,2006,Adults Only,English             ,Comedy,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,13606,Jon Stephens,100650020,2012.0,Q1,januari,2012-01-20 00:00:00.000,Jumat,2005-08-20 00:00:00.000,2005-08-26 00:00:00.000,25.99,4,0.99,2.99
65,155,Ian Tandy,3,Linda Williams,"692 Joliet Street",Athenai,Greece,312,Zorro Ark,2006,Adults Only,English             ,Sci-Fi,A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery,14694,Jon Stephens,100650021,2012.0,Q1,januari,2012-01-21 00:00:00.000,Sabtu,2005-08-21 00:00:00.000,2005-08-29 00:00:00.000,20.99,4,4.99,8.99
66,192,John Suvari,3,Linda Williams,"692 Joliet Street",Athenai,Greece,367,Song Hedwig,2006,Teens,English             ,Sci-Fi,A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention,15033,Mike Hillyer,100650022,2012.0,Q1,januari,2012-01-22 00:00:00.000,Minggu,2005-08-22 00:00:00.000,2005-08-23 00:00:00.000,20.99,6,0.99,0.99
67,144,Angela Witherspoon,3,Linda Williams,"692 Joliet Street",Athenai,Greece,540,Wait Cider,2006,Teens,English             ,Music,A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse,15613,Jon Stephens,100650023,2012.0,Q1,januari,2012-01-23 00:00:00.000,Senin,2005-08-23 00:00:00.000,2005-08-26 00:00:00.000,10.99,7,2.99,2.99
